archive_rank,slug,source_url,asset_system_breadth,asset_categories,retained_formats,referenced_formats,runtime_signals,retained_asset_files,retained_asset_bytes
513,arago,https://arago.wawww.studio/,4,3d_model | environment_map | gpu_texture | webassembly,,glb | hdr | ktx2 | obj | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker | webassembly_runtime,0,0
601,noomo-beat,https://beat.noomoagency.com,4,3d_model | environment_map | gpu_texture | webassembly,,glb | hdr | ktx2 | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker | webassembly_runtime,0,0
731,naughtyduk-c-2,https://naughtyduk.com,4,3d_model | environment_map | shader | webassembly,,frag | hdr | obj | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker | webassembly_runtime,0,0
744,radio-radio,https://radioradio.radio/,4,3d_model | compressed_geometry | spline_scene | webassembly,,draco | obj | splinecode | wasm,draco_decoder | offscreen_canvas | shader_source | web_worker | webassembly_runtime,0,0
1140,the-search-for-work-happiness,https://www.findworkhappiness.com,4,3d_model | gpu_texture | vector_animation | webassembly,,gltf | ktx2 | riv | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | rive_runtime | shader_source | web_worker | webassembly_runtime,0,0
1261,unseen-studio,https://unseen.co/,4,3d_model | gpu_texture | shader | webassembly,,frag | glb | ktx2 | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
1370,panasonic-av-digital-world,https://technology.panasonic.eu/av-digital-world/,4,3d_model | compressed_geometry | gpu_texture | webassembly,,basis | draco | glb | gltf | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | meshopt_decoder | offscreen_canvas | shader_source | web_worker | webassembly_runtime,0,0
1705,artisans-didees,https://www.artisansdidees.com/en,4,3d_model | environment_map | gpu_texture | webassembly,,basis | glb | hdr | ktx2 | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker | webassembly_runtime,0,0
2455,interaction-design-lab-bern-19,https://iad-lab.ch,4,3d_model | compressed_geometry | spline_scene | webassembly,,draco | obj | splinecode | wasm,draco_decoder | offscreen_canvas | shader_source | web_worker | webassembly_runtime,0,0
469,composites-archi,https://www.composites.archi,3,3d_model | gpu_texture | webassembly,glb,glb | ktx2 | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,7,5109972
266,hut-8,https://www.hut8.com/,3,3d_model | gpu_texture | webassembly,glb,glb | ktx2 | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,3,1186704
421,inkwell,https://inkwell.tech/,3,3d_model | gpu_texture | webassembly,wasm,glb | ktx2 | wasm,basis_ktx2_transcoder | draco_decoder | shader_source | web_worker | webassembly_runtime,1,1570524
41,tresmares-capital,https://www.tresmarescapital.com/,3,3d_model | gpu_texture | webassembly,,ktx2 | obj | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
110,artefakt,https://artefakt.mov/,3,3d_model | gpu_texture | webassembly,,glb | ktx2 | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
149,oceanx-2025,https://2025.oceanx.org/,3,3d_model | gpu_texture | webassembly,,glb | ktx2 | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker | webassembly_runtime,0,0
152,vibrant-wellness,https://vibrant.noomoagency.com/,3,3d_model | gpu_texture | webassembly,,glb | ktx2 | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
212,stringtune,https://string-tune.fiddle.digital,3,3d_model | environment_map | webassembly,,exr | glb | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
262,studio-tyrsa,https://www.studiotyrsa.com/,3,3d_model | gpu_texture | webassembly,,glb | ktx2 | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker | webassembly_runtime,0,0
293,activehop,https://www.active-hop.com,3,3d_model | environment_map | webassembly,,glb | hdr | obj | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker | webassembly_runtime,0,0
301,der-baukasten,https://www.der-baukasten.com,3,3d_model | gpu_texture | webassembly,,glb | ktx2 | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker,0,0
323,yame-the-molazone,https://mola-zone.com/,3,3d_model | gpu_texture | webassembly,,glb | ktx2 | wasm,basis_ktx2_transcoder | draco_decoder | gltf_loader | lottie_runtime | meshopt_decoder | offscreen_canvas | shader_source | web_worker | webassembly_runtime,0,0
